prompt,question,options,answer,gpt4_label
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [QA, Sentence completion].

<Task Description ans example>
* qa: a task that chooses the correct answer to a question.
```
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

0
```

* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.
```
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

2
```
You should answer the task type and not say anything after that.

<Task>
{question}

Options: {options}

{answer}",Which actress played a pointy-eared Vulcan in the movie 'Star Trek II: The Wrath of Khan'?,"['0. Whoopi Goldberg', '1. Jennifer Grey', '2. Kirstie Alley', '3. Helen Hunt']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [QA, Sentence completion].

<Task Description ans example>
* qa: a task that chooses the correct answer to a question.
```
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

0
```

* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.
```
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

2
```
You should answer the task type and not say anything after that.

<Task>
{question}

Options: {options}

{answer}",All of the following are conditions sanctioned by the APA regarding the use of deception in a study EXCEPT,"['0. the research is of great importance and cannot be conducted without the use of deception', '1. participants are expected to find the procedures reasonable upon being informed of them', '2. participants must be allowed to withdraw from the experiment at any time', '3. the research must be conducted as a double-blind study']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [QA, Sentence completion].

<Task Description ans example>
* qa: a task that chooses the correct answer to a question.
```
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

0
```

* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.
```
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

2
```
You should answer the task type and not say anything after that.

<Task>
{question}

Options: {options}

{answer}","What does ""Mahavira"" mean?","['0. ""Great Hero""', '1. ""Master""', '2. ""The Lesser One""', '3. ""Mendicant""']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [QA, Sentence completion].

<Task Description ans example>
* qa: a task that chooses the correct answer to a question.
```
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

0
```

* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.
```
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

2
```
You should answer the task type and not say anything after that.

<Task>
{question}

Options: {options}

{answer}",How can the structure of the international society be displayed?,"['0. The structure of the international society follows the vertical model of the domestic legal orders', '1. International society consists of a constellation of sovereign States and other international organizations, which are dispersed in a rather horizontal order of authority', '2. International society is so anarchical that there is no order of authority, neither vertical nor horizontal', '3. The structure of the international society resembles the structure of the most powerful nations in the world']",1,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [QA, Sentence completion].

<Task Description ans example>
* qa: a task that chooses the correct answer to a question.
```
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

0
```

* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.
```
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

2
```
You should answer the task type and not say anything after that.

<Task>
{question}

Options: {options}

{answer}",What is the range of the function y = 5 + 3 * sin(pi – x)?,"['0. –3 ≤ y ≤ 3', '1. –2 ≤ y ≤ 8', '2. 0 ≤ y ≤ 6', '3. 2 ≤ y ≤ 8']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [QA, Sentence completion].

<Task Description ans example>
* qa: a task that chooses the correct answer to a question.
```
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

0
```

* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.
```
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

2
```
You should answer the task type and not say anything after that.

<Task>
{question}

Options: {options}

{answer}","A 76-year-old man comes to the office because of early awakening at night. He has no difficulty falling asleep but routinely wakes up between 2:00 and 3:00 AM. The patient is a retired postal worker, and he has always been physically active. He has diabetes mellitus controlled by diet. The patient drinks one cup of coffee in the morning with breakfast and usually walks for exercise in the morning. Before retiring at night he has one alcoholic beverage. He has no history of depression, nightmares, or snoring and he takes no over-the-counter medications. His wife of 45 years is also in good health. Vital signs are temperature 37.1°C (98.8°F), pulse 96/min and regular, respirations 18/min, and blood pressure 135/90 mm Hg. Physical examination shows a well-nourished, well-developed man. He is not obese. Examination of the head and neck is normal; there are no bruits or jugular venous distention. Chest is clear, and heart is normal with S1 and S2. Abdomen is soft and nontender with active bowel sounds and no organomegaly. Rectal examination discloses no abnormalities. Which of the following is the most appropriate management of this patient's insomnia?","['0. Advise the patient to discontinue his bedtime drink of alcohol', '1. Advise the patient to read and snack in bed to relax', '2. Prescribe a vigorous pre-bedtime exercise regimen', '3. Prescribe sertraline']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [QA, Sentence completion].

<Task Description ans example>
* qa: a task that chooses the correct answer to a question.
```
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

0
```

* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.
```
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

2
```
You should answer the task type and not say anything after that.

<Task>
{question}

Options: {options}

{answer}","Where a client accepts the services of an attorney without an agreement concerning the amount of the fee, there is","['0. An implied-in-fact contract.', '1. An implied-in-law contract.', '2. An express contract.', '3. No contract.']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [QA, Sentence completion].

<Task Description ans example>
* qa: a task that chooses the correct answer to a question.
```
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

0
```

* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.
```
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

2
```
You should answer the task type and not say anything after that.

<Task>
{question}

Options: {options}

{answer}",Find the GCD of 25 and 55.,"['0. 5', '1. 11', '2. 50', '3. 275']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [QA, Sentence completion].

<Task Description ans example>
* qa: a task that chooses the correct answer to a question.
```
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

0
```

* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.
```
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

2
```
You should answer the task type and not say anything after that.

<Task>
{question}

Options: {options}

{answer}", Which of the following statements best describes Gill's response to the argument that the Oregon physician-assisted law falsely assumes that doctors are qualified to judge whether a life is worth living?,"['0. Doctors are as qualified as any other mature adult to decide whether a life is worth living.', '1. Doctors are normally required to make life-and-death decisions, and this is no exception.', '2. The argument is self-defeating because it was proposed by medical doctors.', ""3. The law only requires doctors to make medical decisions about the patient's life expectancy and prognosis.""]",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [QA, Sentence completion].

<Task Description ans example>
* qa: a task that chooses the correct answer to a question.
```
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

0
```

* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.
```
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

2
```
You should answer the task type and not say anything after that.

<Task>
{question}

Options: {options}

{answer}","At very high speeds, an object appears to an observer at rest to be","['0. shorter in the direction of travel.', '1. shrunken in all directions.', '2. shorter in the direction perpendicular to travel.', '3. longer in all directions.']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [QA, Sentence completion].

<Task Description ans example>
* qa: a task that chooses the correct answer to a question.
```
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

0
```

* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.
```
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

2
```
You should answer the task type and not say anything after that.

<Task>
{question}

Options: {options}

{answer}","Which of the following statements identifies a chemically based sensory system?
I. Gustatory system
II. Auditory system
III. Olfactory system","['0. I only', '1. II only', '2. III only', '3. I and III only']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [QA, Sentence completion].

<Task Description ans example>
* qa: a task that chooses the correct answer to a question.
```
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

0
```

* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.
```
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

2
```
You should answer the task type and not say anything after that.

<Task>
{question}

Options: {options}

{answer}","A previously healthy 19-year-old college student comes to student health services 24 hours after the onset of headache, stiff neck, and sensitivity to light. She does not recall any sick contacts. She had chickenpox at the age of 7 years. Her most recent examination 1 year ago included PPD skin testing and showed no abnormalities. She takes a daily multivitamin and an herbal weight-loss preparation. She received all appropriate immunizations during childhood but has not received any since then. She does not smoke, drink alcohol, or use illicit drugs. There is no family history of serious illness. She appears lethargic. Her temperature is 39.1°C (102.4°F), pulse is 112/min, respirations are 20/min, and blood pressure is 100/68 mm Hg. Examination shows diffuse petechiae. Kernig and Brudzinski signs are present. The remainder of the examination shows no abnormalities. A lumbar puncture is performed. Cerebrospinal fluid (CSF) analysis shows numerous segmented neutrophils and a decreased glucose concentration. A Gram stain of the CSF shows gram-negative cocci. Which of the following is the most appropriate pharmacotherapy?","['0. Ceftriaxone', '1. Clindamycin', '2. Erythromycin', '3. Metronidazole']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [QA, Sentence completion].

<Task Description ans example>
* qa: a task that chooses the correct answer to a question.
```
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

0
```

* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.
```
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

2
```
You should answer the task type and not say anything after that.

<Task>
{question}

Options: {options}

{answer}","This question refers to the following information.
Read the the following quotation to answer questions.
The various modes of worship which prevailed in the Roman world were all considered by the people as equally true; by the philosopher as equally false; and by the magistrate as equally useful.
Edward Gibbon, The Decline and Fall of the Roman Empire, 1776–1788
The interpretation of the state of religious belief in ancient Rome by the eighteenth-century English historian Edward Gibbon might be offered as evidence for","[""0. the clergy's monopoly on academic scholarship in eighteenth-century Britain"", '1. the hatred of all things Roman by British scholars in the eighteenth century', '2. the spread of religious skepticism among the educated elite of Britain in the eighteenth century', '3. the lack of sources available to the eighteenth-century scholar for the study of ancient Roman civilization']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [QA, Sentence completion].

<Task Description ans example>
* qa: a task that chooses the correct answer to a question.
```
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

0
```

* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.
```
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

2
```
You should answer the task type and not say anything after that.

<Task>
{question}

Options: {options}

{answer}","This question refers to the following information.
""The greatest contribution that Africa can make to the peace of the world is to avoid all the dangers inherent in disunity, by creating a political union which will also by its success, stand as an example to a divided world. A Union of African states will project more effectively the African personality. It will command respect from a world that has regard only for size and influence. The scant attention paid to African opposition to the French atomic tests in the Sahara, and the ignominious spectacle of the U.N. in the Congo quibbling about constitutional niceties while the Republic was tottering into anarchy, are evidence of the callous disregard of African Independence by the Great Powers.""
Kwame Nkrumah, Ghanian leader, 1961
Nkrumah's argument in the passage most clearly supports which of the following ideologies?","['0. Pan-Africanism', '1. Communism', '2. African socialism', '3. Neocolonialism']",0,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [QA, Sentence completion].

<Task Description ans example>
* qa: a task that chooses the correct answer to a question.
```
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

0
```

* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.
```
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

2
```
You should answer the task type and not say anything after that.

<Task>
{question}

Options: {options}

{answer}","According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces","['0. half the bend.', '1. the same bend if the branch doesn’t break.', '2. twice the bend.', '3. 4 times the bend.']",2,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [QA, Sentence completion].

<Task Description ans example>
* qa: a task that chooses the correct answer to a question.
```
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

0
```

* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.
```
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

2
```
You should answer the task type and not say anything after that.

<Task>
{question}

Options: {options}

{answer}","For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I passed by a cow, and fed it some grass. Scenario 2 | I gave the sick child two advil for her fever.","['0. Wrong, Wrong', '1. Wrong, Not wrong', '2. Not wrong, Wrong', '3. Not wrong, Not wrong']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [QA, Sentence completion].

<Task Description ans example>
* qa: a task that chooses the correct answer to a question.
```
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

0
```

* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.
```
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

2
```
You should answer the task type and not say anything after that.

<Task>
{question}

Options: {options}

{answer}","For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | The forecast calls for rain, so I will tell the new girl to wear a raincoat. Scenario 2 | I washed my dirty plates and mugs in the sink of the break room at work.","['0. Wrong, Wrong', '1. Wrong, Not wrong', '2. Not wrong, Wrong', '3. Not wrong, Not wrong']",3,QA
"You're a helpful task classification assistant.
Identify the task type for the given <Task> below.
You can only choose the correct answer from the list [QA, Sentence completion].

<Task Description ans example>
* qa: a task that chooses the correct answer to a question.
```
Older adults may show less major depression than younger adults because they

Options: ['0. Have learned to cope with loss', '1. See major depression as a stigma', '2. Have very different brain biochemistry', '3. Are no longer concerned with emotional matters']

0
```

* sentence completion: a task that chooses the appropriate following phrase to complete a given sentence.
```
Which archaeological method is best for identifying large-scale land modifications?

Options: ['0. test pits', '1. ground-penetrating radar', '2. aerial photography', '3. proton magnetometers']

2
```
You should answer the task type and not say anything after that.

<Task>
{question}

Options: {options}

{answer}","An experiment was designed to test the effects of three different types of paint on the durability of wooden toys. Because boys and girls tend to play differently with toys, a randomly selected group of children was divided into two groups by sex. Which of the following statements about this experiment is true?","['0. There are three types of paint and two sex groups, giving a total of six treatment combinations in this experiment.', '1. Type of paint is a blocking factor.', '2. Sex is a blocking factor.', '3. This is a completely randomized design.']",2,QA
